Cable type (Backhaul/Subsea),On-Net,Cable Network,Cable Segment,Segment,A PoP,A-end Country,A PoP Status,A Pop Type,Z PoP,B-end Country,Z PoP Status,Z Pop Type,Product,RTD(ms),Weight,Supplier/Provider,"1 Akoranga Drive, Northcote, Auckland 0627, New Zealand"
Subsea,,EIG CABLE NETWORK,EIG S1 [LON BUD],,EIGL,UNITED KINGDOM,In Service,Carrier - Cable Station,EIGB,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,EIG CABLE NETWORK,EIG S2 [ABOTALAT BUD] EXPRESS,,EIGB,#N/A,In Service,Carrier - Cable Station,ALEX,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,EIG CABLE NETWORK,EIG S2 [ABOTALAT MON],,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,MNV&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,EIG CABLE NETWORK,EIG S2 [BUD SBR],,SBRA,#N/A,In Service,Carrier - Cable Station,EIGB,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,EIG CABLE NETWORK,EIG S2 [GIB MON],,MNV&,#N/A,In Service,Customer Premises - Generic,GIBR,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,EIG CABLE NETWORK,EIG S2 [MON-MRL],,MRLS,#N/A,In Service,Carrier - Cable Station,MNV&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,EIG CABLE NETWORK,EIG S2 [SBR GIB],,SBRA,#N/A,In Service,Carrier - Cable Station,GIBR,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,EIG CABLE NETWORK,EIG S3 [ABOTALAT ZAFANA],,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,NA,,,,
Subsea,,EIG CABLE NETWORK,EIG S4 [BRK DJIB],,DJIB,DJIBOUTI,In Service,Carrier - Cable Station,BRKO,OMAN,In Service,Carrier - Cable Station,PS,34.17,30,,
Subsea,,EIG CABLE NETWORK,EIG S4 [DJIB JEDD],,JEDD,#N/A,In Service,Carrier - Cable Station,DJIB,DJIBOUTI,In Service,Carrier - Cable Station,NA,,,,
Subsea,,EIG CABLE NETWORK,EIG S4 [FUJA JEDD],,JEDD,#N/A,In Service,Carrier - Cable Station,FUJA,UNITED ARAB EMIRATES,In Service,Carrier - Cable Station,NA,,,,
Subsea,,EIG CABLE NETWORK,EIG S4 [JEDD ZAFANA],,JEDD,#N/A,In Service,Carrier - Cable Station,EZAE,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,EIG CABLE NETWORK,EIG S4 [MMB ZAFANA] EXPRESS,,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,MBBI,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,EQUIANO CABLE SYSTEM,EQUIANO [PRT-ZAF],,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,NA,,,,
Subsea,,EUR TERRESTRIAL,BICS [FRAN-ULCN],,ULCN,UNITED KINGDOM,In Service,Telstra International POP,FRAN,GERMANY,In Service,Telstra International POP,PS,11.218,30,,
Subsea,,EUR TERRESTRIAL,BICS [MRSJ-ULCN],,ULCN,UNITED KINGDOM,In Service,Telstra International POP,MRSJ,FRANCE,Decommissioned,Telstra International POP,NA,,,,
Subsea,,EUR TERRESTRIAL,EUNET [FMS2-FRAN],,FRAN,GERMANY,In Service,Telstra International POP,FMS2,FRANCE,In Service,Telstra International POP,PS,16.623,30,,
Subsea,,EUR TERRESTRIAL,EUNET [FMS2-ULCN],,ULCN,UNITED KINGDOM,In Service,Telstra International POP,FMS2,FRANCE,In Service,Telstra International POP,PS,18.533,30,,
Subsea,,EUR TERRESTRIAL,EUNET [MRLS-ULCN],,ULCN,UNITED KINGDOM,In Service,Telstra International POP,MRLS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,EUR TERRESTRIAL,EUR [MRSJ - FRAN],,MRSJ,FRANCE,Decommissioned,Telstra International POP,FRAN,GERMANY,In Service,Telstra International POP,NA,,,,
Subsea,,EUR TERRESTRIAL,EUR TERRESTRIAL [MRSJ - FRAN],,MRS1,#N/A,In Service,Carrier - POP,IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Subsea,,EUR TERRESTRIAL,GTT [FRAN - NAM7],,NAM7,NETHERLANDS,In Service,Telstra International POP,FRAN,GERMANY,In Service,Telstra International POP,NA,,,,
Subsea,,EUR TERRESTRIAL,ZAYO [FMS2-ULHC],,ULHC,UNITED KINGDOM,In Service,Telstra International POP,FMS2,FRANCE,In Service,Telstra International POP,PS,18.682,30,,
Subsea,,EUR TERRESTRIAL,ZAYO [MRSJ-ULHC],,ULHC,UNITED KINGDOM,In Service,Telstra International POP,MRSJ,FRANCE,Decommissioned,Telstra International POP,NA,,,,
Subsea,,EUROPE-RUSSIA-ASIA CABLE SYSTEM,ERA [LON-RUS],,SNRU,#N/A,In Service,Carrier - POP,LON&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,EXA ATLANTIC CABLE SYSTEM,EXA ATLANTIC [LON-USA],,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,LON&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,FALCON,FALCON [DXB-FUJ],,FUJ&,#N/A,In Service,Customer Premises - Generic,DXB&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS1 [EST PLM],,PLM&,#N/A,In Service,Customer Premises - Generic,ESLS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS1 & SS2 & SS3 & SS4 & SS5 & SS6 & SS7 [HKG PCO],,SLTU,HONG KONG,In Service,Telstra International POP,PCO&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS1 & SS2 & SS3 & SS4 & SS5 & SS6 & SS7 & SS8 & SS9 [NIN PCO],,PCO&,#N/A,In Service,Customer Premises - Generic,NMKD,#N/A,In Service,Carrier - POP,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS1[PCO PLM],,PLM&,#N/A,In Service,Customer Premises - Generic,PCO&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS2 & SS3 [SUZ PLM],,SUCL,#N/A,In Service,Carrier - Cable Station,PLM&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS2 & SS3 & SS4 & SS5 & SS6 & SS7 [HKG PLM],,SLTU,HONG KONG,In Service,Telstra International POP,PLM&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS4 [FUJ MMB],,MBAI,#N/A,In Service,Carrier - Cable Station,FUJ&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS4 [FUJ SUZ],,SUCL,#N/A,In Service,Carrier - Cable Station,FUJ&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS5 [MMB PEN],,PNCS,#N/A,In Service,Carrier - Cable Station,MBAI,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS5 & SS6 & SS7 [HKG MMB],,SLTU,HONG KONG,In Service,Telstra International POP,MBAI,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS5 & SS6 & SS7 [HKG PEN],,SLTU,HONG KONG,In Service,Telstra International POP,PNCS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS7 [HKG SKL],,SLTU,HONG KONG,In Service,Telstra International POP,SLCA,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS8 [HKG KEO],,SLTU,HONG KONG,In Service,Telstra International POP,KEO&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS8 [HKG SHI],,SLTU,HONG KONG,In Service,Telstra International POP,NACT,#N/A,In Service,Carrier - POP,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS8 & SS9 [HKG MIU],,SLTU,HONG KONG,In Service,Telstra International POP,MIU&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,FLAG EUROPE-ASIA CABLE NETWORK,FLAG SS8 & SS9 [HKG NIN],,SLTU,HONG KONG,In Service,Telstra International POP,NMKD,#N/A,In Service,Carrier - POP,NA,,,,
Subsea,,FOG CABLE NETWORK,FOG [DOH DXB],,DXB&,#N/A,In Service,Customer Premises - Generic,DOH&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,FOG CABLE NETWORK,FOG [DXB MNM],,MNM&,#N/A,In Service,Customer Premises - Generic,DXB&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,GBR TERRESTRIAL,EUNET [ULHC-ULHX],,ULHX,UNITED KINGDOM,In Service,Telstra International POP,ULHC,UNITED KINGDOM,In Service,Telstra International POP,VR,0.05,60,,
Subsea,,GONDWANA CABLE,GONDWANA [NOU SYD],,SXBR,AUSTRALIA,In Service,Carrier - Cable Station,GOND,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,HAWAII TERRESTRIAL,HAW [KEA-GUM],,KEA&,#N/A,In Service,Customer Premises - Generic,GUA&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,HAWK CABLE SYSTEM,HAWK [CYP LON],,LON&,#N/A,In Service,Customer Premises - Generic,CYP&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,HIBERNIA EXPRESS CABLE SYSTEM,HIBERNIA EXPRESS CABLE SEGMENT,,NYK&,#N/A,In Service,Customer Premises - Generic,LON&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,HKG-VIETNAM TERRESTRIAL,FPT [HKG-HCM],,HKG&,#N/A,In Service,Customer Premises - Generic,HCM&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,HKG-VIETNAM TERRESTRIAL,VIETTEL [HKG-HAN],,HKG&,#N/A,In Service,Customer Premises - Generic,HAN&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,HKG-VIETNAM TERRESTRIAL,VIETTEL [HKG-HCM],,HKG&,#N/A,In Service,Customer Premises - Generic,HCM&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,HOKKAIDO-SAKHALIN CABLE SYSTEM,HSCS [JPN-RUS],,TOK&,#N/A,In Service,Customer Premises - Generic,SNRU,#N/A,In Service,Carrier - POP,NA,,,,
Subsea,,I2I CABLE NETWORK,I2I [CHII SGII],,SGII,#N/A,In Service,Carrier - POP,CHII,#N/A,In Service,Carrier - POP,NA,,,,
Subsea,,IMEWE CABLE SYSTEM,IMEWE CABLE SEGMENT,,UFSH,UNITED ARAB EMIRATES,In Service,Telstra International POP,MRSJ,FRANCE,Decommissioned,Telstra International POP,NA,,,,
Subsea,,Indonesia Global Gateway Cable System,IGG [PAN1-ISTT],,MDC&,#N/A,In Service,Customer Premises - Generic,ISTT,SINGAPORE,In Service,Telstra International POP,NA,,,,
Subsea,,JAKABARE CABLE NETWORK,JAKABARE [ISTT - JKIS],,JKIS,#N/A,In Service,Carrier - POP,ISTT,SINGAPORE,In Service,Telstra International POP,NA,,,,
Subsea,,JAKABARE CABLE NETWORK,JAKABARE [JKT-SNG],,SNG&,#N/A,In Service,Customer Premises - Generic,JKT&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,JGA Cable System,JGA-North,,PIT1,#N/A,In Service,Carrier - Cable Station,MINA,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,JGA Cable System,JGA-South,,SXBR,AUSTRALIA,In Service,Carrier - Cable Station,PIT2,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,JPN TERRESTRIAL,JPN [JSOM-SSNT],,SSNT,JAPAN,In Service,Carrier - Cable Station,JSOM,JAPAN,In Service,Telstra International POP,NA,,,,
Subsea,,JUPITER CABLE NETWORK,JUPITER [MRU-LAP],,ULAC,#N/A,Planned,Telstra International POP,MJLS,JAPAN,In Service,Telstra International POP,NA,,,,
Subsea,,JUS CABLE NETWORK,JUS S1 [MKA MRB],,MRBC,UNITED STATES OF AMERICA,In Service,Carrier - Cable Station,MKLS,UNITED STATES OF AMERICA,In Service,Carrier - Cable Station,NA,,,,JUS exited
Subsea,,JUS CABLE NETWORK,JUS S2 [MKA SHS],,SWLS,#N/A,In Service,Carrier - Cable Station,MKLS,UNITED STATES OF AMERICA,In Service,Carrier - Cable Station,NA,,,,
Subsea,,JUS CABLE NETWORK,JUS S3 & S4 [MRU SHS],,SWLS,#N/A,In Service,Carrier - Cable Station,MJLS,JAPAN,In Service,Telstra International POP,NA,,,,
Subsea,,JUS CABLE NETWORK,JUS S3 & S5 [KTA SHS],,SWLS,#N/A,In Service,Carrier - Cable Station,KJLS,JAPAN,In Service,Carrier - POP,NA,,,,
Subsea,,JUS CABLE NETWORK,JUS S6 & S8 [MAN MRU],,MJLS,JAPAN,In Service,Telstra International POP,MANC,UNITED STATES OF AMERICA,In Service,Carrier - Cable Station,NA,,,,JUS exited
Subsea,,JUS CABLE NETWORK,JUS S7 & S8 [KTA MAN],,MANC,UNITED STATES OF AMERICA,In Service,Carrier - Cable Station,KJLS,JAPAN,In Service,Carrier - POP,NA,,,,JUS exited
Subsea,,JUS CABLE NETWORK,JUS S9 [MAN MRB],,MRBC,UNITED STATES OF AMERICA,In Service,Carrier - Cable Station,MANC,UNITED STATES OF AMERICA,In Service,Carrier - Cable Station,NA,,,,JUS exited
Subsea,,LEV CABLE,LEV [TAV YKP],,YKP&,#N/A,In Service,Customer Premises - Generic,TVB1,#N/A,In Service,Carrier - POP,NA,,,,
Subsea,,MATRIX CABLE,MATRIX [JKT SNG],,SNCI,#N/A,In Service,Carrier - Cable Station,JKPM,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,MEDNAUTILUS CABLE SYSTEM,MEDNAUTILUS [CYP LON],,LON&,#N/A,In Service,Customer Premises - Generic,CYP&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,MENA SUBMARINE SYSTEM (Middle East North Africa),MENA [EGY-OMN],,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,NA,,,,
Subsea,,MORATELINDO INTERNATIONAL CABLE-SYSTEM ONE (MIC-1),MIC-1 [BATAM-SNG],,SNCI,#N/A,In Service,Carrier - Cable Station,BTM&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,MYS TERRESTRIAL,MYS TERRESTRIAL [MYS-SGP],,SNG&,#N/A,In Service,Customer Premises - Generic,MLA&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,NCP CABLE NETWORK,NCP [HIL-MRU],,USFB,UNITED STATES OF AMERICA,In Service,Carrier - Cable Station,MJLS,JAPAN,In Service,Telstra International POP,VR,89,60,,
Subsea,,PC-1 CABLE NETWORK,PC-1 NORTH,,SEA&,#N/A,In Service,Customer Premises - Generic,JAAJ,JAPAN,In Service,Telstra International POP,NA,,,,
Subsea,,PC-1 CABLE NETWORK,PC-1 SOUTH,,SLO&,#N/A,In Service,Customer Premises - Generic,SHS&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,PPC-1 CABLE,PPC-1 [SYD-LAE],,SYD&,#N/A,In Service,Customer Premises - Generic,LAE&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,PPC-1 CABLE,PPC-1 [SYD-PITI],,SYD&,#N/A,In Service,Customer Premises - Generic,PITI,#N/A,In Service,Customer Premises - Specific,NA,,,,
Subsea,,PRESANITY/NW2208,SANITYFORTVT12,,TVT6,#N/A,Pending Decommission,Telstra International POP,TVT6,#N/A,Pending Decommission,Telstra International POP,NA,,,,
Subsea,,SAFE CABLE NETWORK,SAFE [BJT PEN],,PENG,#N/A,In Service,Carrier - POP,BJLS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SAFE CABLE NETWORK,SAFE [COC MTZ],,MTLS,#N/A,In Service,Carrier - Cable Station,COC&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,SAFE CABLE NETWORK,SAFE [COC PEN],,PNCS,#N/A,In Service,Carrier - Cable Station,COC&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,SAFE CABLE NETWORK,SAFE [MTZ PEN],,PENG,#N/A,In Service,Carrier - POP,MTLS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SAT-3/WACS CABLE NETWORK,SAT-3/WACS [MLK SES],,SBRA,#N/A,In Service,Carrier - Cable Station,MKB&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,SAT-3/WACS CABLE NETWORK,WACS [ZZZZ - ZZZZ],,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,NA,,,,
Subsea,,SAT-3/WACS CABLE NETWORK,WACS CABLE SEGMENTS,,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,NA,,,,
Subsea,,SEACOM NETWORK,SEACOM [SJTE-IMNV],,ULCN,UNITED KINGDOM,In Service,Telstra International POP,SJTE,SOUTH AFRICA,In Service,Telstra International POP,NA,,,,Can't find anything
Subsea,,SEACOM NETWORK,SEACOM [SJTE-ULCN],,ULCN,UNITED KINGDOM,In Service,Telstra International POP,SJTE,SOUTH AFRICA,In Service,Telstra International POP,NA,,,,Can't find anything
Subsea,,SGP-VIETNAM TERRESTRIAL,FPT [SNG-HCM],,SNG&,#N/A,In Service,Customer Premises - Generic,HCM&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,SJC CABLE SYSTEM,SJC [CHK2-ISTT],,ISTT,SINGAPORE,In Service,Telstra International POP,CHK&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,SJC CABLE SYSTEM,SJC [HKMI-CHK2],,HKMI,HONG KONG,In Service,Telstra International POP,CHK&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Subsea,,SJC CABLE SYSTEM,SJC [HKMI-ISTT],,ISTT,SINGAPORE,In Service,Telstra International POP,HKMI,HONG KONG,In Service,Telstra International POP,VR,35,90,,
Subsea,,SJC CABLE SYSTEM,SJC [HKMI-PHPN],,PHPN,PHILIPPINES,In Service,Telstra International POP,HKMI,HONG KONG,In Service,Telstra International POP,VR,16.5,90,,
Subsea,,SJC CABLE SYSTEM,SJC [HKMI-SNG&],,SNG&,#N/A,In Service,Customer Premises - Generic,HKMI,HONG KONG,In Service,Telstra International POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 [HKDW SATS],,SATS,#N/A,In Service,Carrier - Cable Station,HKDW,HONG KONG,In Service,Telstra International POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1,,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [FSHN HGKG],,HKDW,HONG KONG,In Service,Telstra International POP,FGCS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [FSHN OKIW],,OKKD,#N/A,In Service,Carrier - Cable Station,FGCS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [FSHN SHTO],,STCT,#N/A,In Service,Carrier - Cable Station,FGCS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [HGKG KEOJ],,KECS,#N/A,In Service,Carrier - Cable Station,HKDW,HONG KONG,In Service,Telstra International POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [HGKG OKIW],,OKKD,#N/A,In Service,Carrier - Cable Station,HKDW,HONG KONG,In Service,Telstra International POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [HGKG SHTO],,STCT,#N/A,In Service,Carrier - Cable Station,HKDW,HONG KONG,In Service,Telstra International POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [HGKG TCHG],,TGCS,#N/A,In Service,Carrier - POP,HKDW,HONG KONG,In Service,Telstra International POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [KEOJ SHTO],,STCT,#N/A,In Service,Carrier - Cable Station,KECS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [KEOJE OKIW],,OKKD,#N/A,In Service,Carrier - Cable Station,KECS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [OKIW SHGA],,SHLS,#N/A,In Service,Carrier - Cable Station,OKKD,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [OKIW SHTO],,STCT,#N/A,In Service,Carrier - Cable Station,OKKD,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [OKIW TCHG],,TGCS,#N/A,In Service,Carrier - POP,OKKD,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [SHGA SHTO],,STCT,#N/A,In Service,Carrier - Cable Station,SHLS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [SHGA TCHG],,TGCS,#N/A,In Service,Carrier - POP,SHLS,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S1 [SHTO TCHG],,TGCS,#N/A,In Service,Carrier - POP,STCT,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2,,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [BTGA SHTO],,STCT,#N/A,In Service,Carrier - Cable Station,BTGA,PHILIPPINES,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [BTGA TGKU],,TGKU,#N/A,In Service,Carrier - POP,BTGA,PHILIPPINES,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [BTGA TUAS],,TUAS,SINGAPORE,In Service,Telstra International POP,BTGA,PHILIPPINES,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [DANG HGKG],,HKDW,HONG KONG,In Service,Telstra International POP,DANG,VIETNAM,In Service,Carrier - POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [DANG SHTO],,STCT,#N/A,In Service,Carrier - Cable Station,DANG,VIETNAM,In Service,Carrier - POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [DANG TUAS],,TUAS,SINGAPORE,In Service,Telstra International POP,DANG,VIETNAM,In Service,Carrier - POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [HGKG SHTO],,STCT,#N/A,In Service,Carrier - Cable Station,HKDW,HONG KONG,In Service,Telstra International POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [HGKG TAIP],,TPLS,#N/A,In Service,Carrier - Cable Station,HKDW,HONG KONG,In Service,Telstra International POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [HGKG TUAS],,TUAS,SINGAPORE,In Service,Telstra International POP,HKDW,HONG KONG,In Service,Telstra International POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [MERS SHTO],,STCT,#N/A,In Service,Carrier - Cable Station,MERS,MALAYSIA,In Service,Carrier - POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [MERS TUAS],,TUAS,SINGAPORE,In Service,Telstra International POP,MERS,MALAYSIA,In Service,Carrier - POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [SHTO TAIP],,TPLS,#N/A,In Service,Carrier - Cable Station,STCT,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [SHTO TGKU],,TULS,BRUNEI,In Service,Carrier - Cable Station,STCT,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [SHTO TUAS],,TUAS,SINGAPORE,In Service,Telstra International POP,STCT,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [TAIP TUAS],,TUAS,SINGAPORE,In Service,Telstra International POP,TAIP,#N/A,In Service,Carrier - POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S2 [TGKU TUAS],,TUAS,SINGAPORE,In Service,Telstra International POP,TGKU,#N/A,In Service,Carrier - POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S3,,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S3 [JKTA PERT],,PTHP,AUSTRALIA,In Service,Telstra International POP,JKAN,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S3 [JKTA TUAS],,TUAS,SINGAPORE,In Service,Telstra International POP,JKAN,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S3 [PERT TUAS],,TUAS,SINGAPORE,In Service,Telstra International POP,PTHP,AUSTRALIA,In Service,Telstra International POP,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S4,,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,ZZZZ,AFGHANISTAN,In Service,Customer Premises - Generic,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S4 [C0CH MTLA],,MTLA,#N/A,In Service,Carrier - POP,COCH,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S4 [COCH MBAI],,MBAI,#N/A,In Service,Carrier - Cable Station,COCH,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S4 [COCH TUAS],,TUAS,SINGAPORE,In Service,Telstra International POP,COCH,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S4 [MBAI MEDN],,MEDN,#N/A,In Service,Carrier - POP,MBAI,#N/A,In Service,Carrier - Cable Station,NA,,,,
Subsea,,SMW3 CABLE NETWORK,SMW3 S4 [MBAI MTLA],,MTLA,#N/A,In Service,Carrier - POP,MBAI,#N/A,In Service,Carrier - Cable Station,NA,,,,
