Cable type (Backhaul/Subsea),On-Net,Cable Network,Cable Segment,Segment,A PoP,A-end Country,A PoP Status,A Pop Type,Z PoP,B-end Country,Z PoP Status,Z Pop Type,Product,RTD(ms),Weight,Supplier/Provider,"1 Akoranga Drive, Northcote, Auckland 0627, New Zealand"
Backhaul,,N/A,ZZ41,,PAIX,UNITED STATES OF AMERICA,In Service,Telstra International POP,MRBC,UNITED STATES OF AMERICA,In Service,Carrier - Cable Station,PS,3.5,90,,No Direct Path found
Backhaul,,N/A,ZZ42,,HPTW,NEW ZEALAND,In Service,Telstra International POP,AUCW,#N/A,In Service,Carrier - POP,NA,,,,
Backhaul,,N/A,ZZ43,,NDA&,#N/A,In Service,Customer Premises - Generic,IDTA,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ44,,MKLC,MALAYSIA,In Service,Telstra International POP,MKLA,MALAYSIA,In Service,Telstra International POP,PS,0.35,40,,Est Google Maps Distance/100
Backhaul,,N/A,ZZ45,,USEP,#N/A,Planned,Telstra International POP,TLOT,UNITED STATES OF AMERICA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ46,,ULHX,UNITED KINGDOM,In Service,Telstra International POP,LON&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ47,,ULCO,UNITED KINGDOM,In Service,Telstra International POP,STIX,SWEDEN,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ48,,HKMI,HONG KONG,In Service,Telstra International POP,HKEX,HONG KONG,In Service,Telstra International POP,NA,,,,Only for EPLX
Backhaul,,N/A,ZZ49,,JKT&,#N/A,In Service,Customer Premises - Generic,JAKT,INDONESIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ50,,UNSE,UNITED STATES OF AMERICA,In Service,Telstra International POP,TNRT,UNITED STATES OF AMERICA,Decommissioned,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ51,,BSHN,#N/A,In Service,Carrier - POP,AMKI,#N/A,In Service,Carrier - POP,NA,,,,
Backhaul,,N/A,ZZ52,,IPDV,INDIA,In Service,Telstra International POP,IMNV,INDIA,In Service,Telstra International POP,PS,5.18216,60,,
Backhaul,,N/A,ZZ53,,SYLP,AUSTRALIA,Decommissioned,Telstra International POP,SYDP,AUSTRALIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ54,,CNI&,#N/A,In Service,Customer Premises - Generic,CHEP,INDIA,In Service,Telstra International POP,NA,,,,
Terrestrial,,N/A,ZZ55,,ULCO,UNITED KINGDOM,In Service,Telstra International POP,GDS1,GERMANY,In Service,Telstra International POP,PS,7,60,,
Backhaul,,N/A,ZZ56,,IRIL,#N/A,In Service,Carrier - POP,IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ57,,MRS1,#N/A,In Service,Carrier - POP,IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ58,,FRAN,GERMANY,In Service,Telstra International POP,FMS1,FRANCE,In Service,Telstra International POP,EK,16.623,60,,
Backhaul,,N/A,ZZ59,,JAI&,#N/A,In Service,Customer Premises - Generic,IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ60,,SCGL,SINGAPORE,In Service,Telstra International POP,6NTP,SINGAPORE,In Service,Telstra International POP,VR,0.5,90,,
Backhaul,,N/A,ZZ61,,PCCW,#N/A,In Service,Carrier - POP,HKHH,HONG KONG,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ62,,USDN,UNITED STATES OF AMERICA,In Service,Telstra International POP,USDF,UNITED STATES OF AMERICA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ63,,USWB,UNITED STATES OF AMERICA,In Service,Telstra International POP,USDN,UNITED STATES OF AMERICA,In Service,Telstra International POP,NA,,,,
Subsea,,N/A,ZZ64,,UWHC,UNITED KINGDOM,In Service,Telstra International POP,ULHC,UNITED KINGDOM,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ65,,PMRS,PHILIPPINES,In Service,Telstra International POP,MNL&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ66,,GFR4,GERMANY,In Service,Telstra International POP,DCPH,DENMARK,In Service,Telstra International POP,NA,,,,
Terrestrial,,N/A,ZZ67,,ULCN,UNITED KINGDOM,In Service,Telstra International POP,FRAN,GERMANY,In Service,Telstra International POP,PS,18,60,,
Backhaul,,N/A,ZZ68,,ULCO,UNITED KINGDOM,In Service,Telstra International POP,DCPH,DENMARK,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ69,,HKEX,HONG KONG,In Service,Telstra International POP,HKCK,HONG KONG,In Service,Telstra International POP,NA,,,,Estimates
Subsea,,N/A,ZZ70,,ISTT,SINGAPORE,In Service,Telstra International POP,CHEP,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ71,,SLOJ,UNITED STATES OF AMERICA,In Service,Telstra International POP,1WMR,UNITED STATES OF AMERICA,In Service,Telstra International POP,PS,4.6,90,,
Backhaul,,N/A,ZZ72,,NAM7,NETHERLANDS,In Service,Telstra International POP,FRAN,GERMANY,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ73,,CGRR,CHINA,In Service,Telstra International POP,CBZT,CHINA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ74,,ULHC,UNITED KINGDOM,In Service,Telstra International POP,STIX,SWEDEN,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ75,,PMRS,PHILIPPINES,In Service,Telstra International POP,NAI&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ76,,TPEI,TAIWAN,In Service,Telstra International POP,TPE&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ77,,UNS4,UNITED STATES OF AMERICA,In Service,Telstra International POP,JRC&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ78,,PNMA,PHILIPPINES,In Service,Telstra International POP,MNL&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ79,,VHTB,VIETNAM,In Service,Telstra International POP,HANI,VIETNAM,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ80,,ULHS,UNITED KINGDOM,In Service,Telstra International POP,ULCN,UNITED KINGDOM,In Service,Telstra International POP,PS,0.035,60,,Est Google Maps Distance/100
Backhaul,,N/A,ZZ81,,VIE&,#N/A,In Service,Customer Premises - Generic,LON&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ82,,PCCW,#N/A,In Service,Carrier - POP,HKTH,HONG KONG,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ83,,ULCN,UNITED KINGDOM,In Service,Telstra International POP,LONA,#N/A,In Service,Carrier - POP,NA,,,,
Backhaul,,N/A,ZZ84,,USAT,UNITED STATES OF AMERICA,In Service,Telstra International POP,ATL&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ85,,MMB&,#N/A,In Service,Customer Premises - Generic,IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ86,,IHCT,INDIA,In Service,Telstra International POP,CHEP,INDIA,In Service,Telstra International POP,PS,15.026,60,,
Backhaul,,N/A,ZZ87,,SYDO,AUSTRALIA,In Service,Telstra International POP,AMLS,AUSTRALIA,In Service,Telstra International POP,EK,9,60,,Estimates  / AMLS not an EPL site
Backhaul,,N/A,ZZ88,,TNRT,UNITED STATES OF AMERICA,Decommissioned,Telstra International POP,TLOT,UNITED STATES OF AMERICA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ89,,MMVS,#N/A,In Service,Carrier - POP,IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ90,,ULHC,UNITED KINGDOM,In Service,Telstra International POP,MRSK,#N/A,In Service,Carrier - Cable Station,NA,,,,
Backhaul,,N/A,ZZ91,,IMTS,#N/A,In Service,Telstra (Internal Use),IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ92,,ULAL,UNITED STATES OF AMERICA,In Service,Telstra International POP,EQCH,UNITED STATES OF AMERICA,In Service,Telstra International POP,PS,33,90,,Recheck
Backhaul,,N/A,ZZ93,,SEAT,#N/A,In Service,Carrier - POP,EQCH,UNITED STATES OF AMERICA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ94,,SNG&,#N/A,In Service,Customer Premises - Generic,SGGS,SINGAPORE,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ95,,PAIX,UNITED STATES OF AMERICA,In Service,Telstra International POP,MANC,UNITED STATES OF AMERICA,In Service,Carrier - Cable Station,NA,,,,
Backhaul,,N/A,ZZ96,,ULFS,UNITED KINGDOM,In Service,Telstra International POP,ULCO,UNITED KINGDOM,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ97,,FRAN,GERMANY,In Service,Telstra International POP,FPTV,FRANCE,In Service,Telstra International POP,EK,10.762,60,,FPTV is IP pop only
Backhaul,,N/A,ZZ98,,EQCH,UNITED STATES OF AMERICA,In Service,Telstra International POP,CHI&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ99,,KRBX,KOREA SOUTH,In Service,Telstra International POP,KOLS,KOREA SOUTH,In Service,Telstra International POP,NA,,,,Only for EPLX
Backhaul,,N/A,ZZ100,,UCME,UNITED STATES OF AMERICA,In Service,Telstra International POP,EQCH,UNITED STATES OF AMERICA,In Service,Telstra International POP,PS,0.564,90,,
Backhaul,,N/A,ZZ102,,TLOT,UNITED STATES OF AMERICA,In Service,Telstra International POP,MANC,UNITED STATES OF AMERICA,In Service,Carrier - Cable Station,PS,15,90,,
Backhaul,,N/A,ZZ103,,PUE&,#N/A,In Service,Customer Premises - Generic,CHEP,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ104,,ULCN,UNITED KINGDOM,In Service,Telstra International POP,LOBT,#N/A,In Service,Carrier - POP,NA,,,,
Backhaul,,N/A,ZZ105,,ICSE,INDIA,In Service,Telstra International POP,CHEP,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ106,,UDDM,UNITED ARAB EMIRATES,In Service,Telstra International POP,FUJA,UNITED ARAB EMIRATES,In Service,Carrier - Cable Station,PS,2.92,60,,
Backhaul,,N/A,ZZ107,,USDN,UNITED STATES OF AMERICA,In Service,Telstra International POP,EQCH,UNITED STATES OF AMERICA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ108,,USWB,UNITED STATES OF AMERICA,In Service,Telstra International POP,PAIX,UNITED STATES OF AMERICA,In Service,Telstra International POP,PS,19,90,,
Backhaul,,N/A,ZZ109,,UNS4,UNITED STATES OF AMERICA,In Service,Telstra International POP,EQCH,UNITED STATES OF AMERICA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ110,,GFR4,GERMANY,In Service,Telstra International POP,GDS1,GERMANY,In Service,Telstra International POP,NA,,,,GFR4 is IP pop only
Backhaul,,N/A,ZZ111,,SYLP,AUSTRALIA,Decommissioned,Telstra International POP,SYD&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ112,,ULCO,UNITED KINGDOM,In Service,Telstra International POP,MRSJ,FRANCE,Decommissioned,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ113,,JTHA,JAPAN,In Service,Telstra International POP,HKSF,HONG KONG,In Service,Telstra International POP,PS,50,60,,
Subsea,,N/A,ZZ114,,HKTH,HONG KONG,In Service,Telstra International POP,FMS1,FRANCE,In Service,Telstra International POP,NA,,,,"Invalid backhaul, HK-France?"
Backhaul,,N/A,ZZ115,,PUE&,#N/A,In Service,Customer Premises - Generic,IMNV,INDIA,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ116,,UWHC,UNITED KINGDOM,In Service,Telstra International POP,ULCN,UNITED KINGDOM,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ117,,TPEA,TAIWAN,In Service,Telstra International POP,TPE&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ118,,SGEA,#N/A,In Service,Carrier - POP,SCGL,SINGAPORE,In Service,Telstra International POP,NA,,,,
